32,0.0,,1.0,
64,0.0,,1.0,
128,0.075,,1.0,
256,0.45,,1.0,
512,0.675,,1.0,
1024,0.8875,,1.0,
2048,0.8,,1.0,
4096,0.8625,,1.0,
8192,0.775,,1.0,
16384,0.8375,,1.0,
32768,0.7875,,1.0,
65536,0.825,,1.0,
