sample_size,dataset_id,passed_safety_02,passed_safety_01,passed_safety_005,passed_safety_001,sa_02_accuracy,sa_01_accuracy,sa_005_accuracy,sa_001_accuracy,sa_02_disc_stat,sa_01_disc_stat,sa_005_disc_stat,sa_001_disc_stat
500,40,True,True,True,True,0.756,0.766,0.542,0.542,0.2877,0.2556,0.0,0.0
5000,21,True,True,True,True,0.7666,0.7256,0.5984,0.4832,0.1571,0.1774,0.0969,0.0
2500,22,True,True,True,False,0.762,0.594,0.4988,0.4988,0.1885,0.1172,0.0,0.0
1000,6,True,True,True,True,0.499,0.499,0.499,0.499,0.0,0.0,0.0,0.0
500,25,True,True,True,False,0.522,0.512,0.512,0.488,0.026,0.0,0.0,0.0
500,6,True,False,False,False,0.508,0.508,0.508,0.508,0.0,0.0,0.0,0.0
5000,17,True,True,True,True,0.7682,0.6674,0.5212,0.502,0.158,0.1495,0.0213,0.0
500,36,True,True,True,True,0.51,0.51,0.51,0.51,0.0,0.0,0.0,0.0
2500,27,True,True,True,False,0.7652,0.6696,0.5152,0.4856,0.0673,0.1201,0.0474,0.0
500,35,True,True,True,True,0.484,0.464,0.464,0.464,0.0614,0.0,0.0,0.0
1000,33,True,True,True,True,0.544,0.504,0.504,0.504,0.0539,0.0,0.0,0.0
5000,42,True,True,True,True,0.762,0.6338,0.5194,0.5114,0.217,0.1079,0.017,0.0
500,50,True,True,True,True,0.522,0.522,0.522,0.522,0.0,0.0,0.0,0.0
1000,22,True,True,True,True,0.637,0.52,0.546,0.583,0.0948,0.0355,0.0496,0.0347
2500,38,True,True,True,False,0.6656,0.5048,0.5004,0.5004,0.1751,0.0081,0.0,0.0
2500,31,True,True,True,True,0.7232,0.5556,0.4984,0.4984,0.1725,0.0375,0.0,0.0
2500,46,True,True,True,True,0.7424,0.5572,0.518,0.4948,0.1982,0.0616,0.0527,0.0
500,12,True,True,True,False,0.478,0.478,0.478,0.478,0.0,0.0,0.0,0.0
500,8,True,True,True,False,0.536,0.536,0.536,0.536,0.0,0.0,0.0,0.0
